test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new0,vulkan_pvmm_new1,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4,
4-semsc-mp3-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
4-semsc-mp3-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
4-semsc-mp3-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
4-semsc-mp3-sc,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Figure 13
4-semsc-mp3-sc-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
4-semsc-mp3-sc-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
4-semsc-mp3-sc-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
4-semsc-lb-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
4-semsc-lb-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-barrier-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-sb,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-sb-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-sb-barrier-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-sb-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-sb-barrier-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-sb-barrier-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-sb-barrier-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-sb-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-barrier-overwrite-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-overwrite-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-overwrite-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-overwrite-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-overread-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-overread-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-barrier-overread-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-barrier-overread-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-avvis-mp-bad-fence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-bad-fence-acqrel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-bad-fence-avvis,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-bad-fence-avvis-acqrel,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-bad-fence-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-bad-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-avvis-mp-good-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-avvis-mp-good-fence-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-avvis-mp-good-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-locord-rr-cycle,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-locord-rr-visibility,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
extra-mp3-fence-order-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
extra-mp3-fence-order-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
extra-mp3-fence-order-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
extra-mp3-barrier,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
extra-mp3-barrier-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-observation-atom-a,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-observation-atom-b,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-observation-atom-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-atom-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-observation-atom-e,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-observation-nonpriv-a,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-observation-nonpriv-b,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,Figure 8
x-observation-nonpriv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-nonpriv-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-observation-nonpriv-e,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-observation-priv-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-observation-priv-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-observation-priv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-priv-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,
x-observation-priv-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,
,,,,,,,,,,
x-observation-sync-atom-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-atom-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-atom-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-atom-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-atom-e,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-observation-sync-nonpriv-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-e,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-observation-sync-priv-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-observation-sync-priv-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-observation-sync-priv-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-observation-sync-priv-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,
x-observation-sync-priv-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,
,,,,,,,,,,
x-asym-mp-rel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-asym-mp-acq,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-asym-mp3-rel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-asym-mp3-acq,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
x-rs-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-rs-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
x-asmo-trans-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-asmo-trans-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-rmw-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-rmw-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
x-chains-av-via-read,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
x-ssw-ithb-av-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-ithb-av-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-ithb-vis-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-ithb-vis-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-ithb-both-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-ithb-both-nok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-r-w,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-w-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-r-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-wr-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-wr-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-wr-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-wr-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-wr-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-rw-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-rw-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-rw-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-rw-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-rw-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-w-wr-po-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-po-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-po-c,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-w-wr-po-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-w-wr-po-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-w-wr-inscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-inscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-inscope-c,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-w-wr-inscope-d,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,
x-ssw-sync-w-wr-inscope-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sync-w-wr-notinscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-notinscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-notinscope-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-notinscope-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sync-w-wr-notinscope-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
,,,,,,,,,,
x-redundant-semsc,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-rw-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-rw-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-rw-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-r-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-r-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-r-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-w-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-w-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-single-w-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-redundant-semsc-vloc-ext-rr-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rr-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rr-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-ww-priv,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-redundant-semsc-vloc-ext-ww-nonpriv,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-redundant-semsc-vloc-ext-ww-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rw1-priv,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-redundant-semsc-vloc-ext-rw1-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rw1-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rw2-priv,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-redundant-semsc-vloc-ext-rw2-nonpriv,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-redundant-semsc-vloc-ext-rw2-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-redundant-semsc-vloc-po-rr-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-rr-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-rr-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
