test,vulkan,vulkan-fixed,vulkan-update,
x-observation-nonpriv-d,PASS,PASS,PASS,
x-observation-nonpriv-e,FAIL,FAIL,FAIL,
,,,,
x-observation-priv-a,FAIL,PASS,PASS,
x-observation-priv-b,PASS,PASS,PASS,
x-observation-priv-c,FAIL,FAIL,FAIL,
x-observation-priv-d,PASS,PASS,PASS,
x-observation-priv-e,FAIL,PASS,PASS,
,,,,
x-observation-sync-atom-a,FAIL,FAIL,FAIL,
x-observation-sync-atom-b,PASS,PASS,PASS,
x-observation-sync-atom-c,FAIL,FAIL,FAIL,
x-observation-sync-atom-d,PASS,PASS,PASS,
x-observation-sync-atom-e,FAIL,FAIL,FAIL,
,,,,
x-observation-sync-nonpriv-a,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-b,PASS,PASS,PASS,
x-observation-sync-nonpriv-c,FAIL,FAIL,FAIL,
x-observation-sync-nonpriv-d,PASS,PASS,PASS,
x-observation-sync-nonpriv-e,FAIL,FAIL,FAIL,
,,,,
x-observation-sync-priv-a,FAIL,PASS,PASS,
x-observation-sync-priv-b,PASS,PASS,PASS,
x-observation-sync-priv-c,FAIL,FAIL,FAIL,
x-observation-sync-priv-d,PASS,PASS,PASS,
x-observation-sync-priv-e,FAIL,PASS,PASS,
,,,,
x-asym-mp-rel,PASS,PASS,PASS,
x-asym-mp-acq,PASS,PASS,PASS,
x-asym-mp3-rel,PASS,PASS,PASS,
x-asym-mp3-acq,PASS,PASS,PASS,
,,,,
x-rs-a,PASS,PASS,PASS,
x-rs-b,PASS,PASS,PASS,
,,,,
x-asmo-trans-a,FAIL,FAIL,FAIL,
x-asmo-trans-b,FAIL,FAIL,FAIL,
,,,,
x-2rmw-a,FAIL,FAIL,FAIL,
x-2rmw-b,PASS,PASS,PASS,
,,,,
x-rmw1-a,FAIL,FAIL,FAIL,
x-rmw1-b,FAIL,FAIL,FAIL,
x-rmw2-a,PASS,PASS,PASS,
x-rmw2-b,FAIL,FAIL,FAIL,
x-rmw3-a,PASS,FAIL,PASS,
x-rmw3-b,FAIL,FAIL,FAIL,
