benchmark, result, time
C-LB+dataonceonce+dataoncerelease-wsireleaseonce.litmus, 
C-lb+o-assign+deref-addr-o.litmus, 
C-3.lb+o-assign+deref-addr-o.litmus, 
C-sb+rel-acq+rel-acq.litmus, FAIL, 9
C-lb+deref-addr-o+deref-addr-o.litmus, 
C-isa2+o-rel+acq-assign+deref-addr-o.litmus, 
C-S+fencembonceonce+dataonceonce-wsionceonce.litmus, 
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, 
C-Weak-RCU-Readers.litmus, FAIL, 11
C-isa2+o-wb-o+o-mb-o+o-rb-o.litmus, PASS, 10
C-less-super-dist-2+2w+rel+acq-assign+deref-addr-o+o-wmb-o+o-wmb-o.litmus, 
C-3.lb+o-mb-o+o-mb-o+ctrl-branch-o.litmus, PASS, 10
C-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, FAIL, 11
C-lb+o-rel+o-rel.litmus, PASS, 9
C-S+fencembonceonce+dataoncerelease-wsireleaseonce.litmus, 
C-wrc+rel+acq-o+o-rb-o.litmus, FAIL, 10
C-3.lb+o-o+o-o.litmus, FAIL, 10
C-lb+rel-acq+rel-acq.litmus, PASS, 10
C-lb+o-o+o-o.litmus, FAIL, 10
C-alt-ww-rw+rel+acq-rel+acq-o+o-wb-rel+acq-o+o-wb-o.litmus, FAIL, 13
C-lb+ctrl-branch-o+ctrl-branch-o.litmus, PASS, 9
C-3.lb+acq-rel+acq-rel.litmus, PASS, 9
C-lb+o-mb-o+o-mb-o.litmus, PASS, 10
C-S+fencembonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, 
C-wrc+rel+acq-rel+acq-o.litmus, PASS, 10
C-lb+deref-addr-assign+deref-addr-assign.litmus, 
C-dist-2+2w+o-o+o-o.litmus, FAIL, 10
C-isa2+o-o+o-o+o-o.litmus, FAIL, 11
C-3.lb+o-branch-o+o-branch-o.litmus, PASS, 13
C-isa2+o-assign+deref-addr-o+o-rb-o.litmus, 
C-say-wot.litmus, PASS, 13
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce.litmus, 
C-lb+o-branch-o+o-branch-o.litmus, PASS, 11
C-lb+deref-assign+deref-assign.litmus, PASS, 10
C-3.lb+o-mb-o+o-mb-o+o-branch-o.litmus, PASS, 11
C-sb+o-o+o-o.litmus, FAIL, 8
C-wrc+o-mb-o+o-rb-o.litmus, PASS, 9
C-say-captain.litmus, PASS, 10
C-Weak-RCU-Readers-With-Grace.litmus, FAIL, 9
C-mp+o-assign+deref-o.litmus, FAIL, 9
C-S+fencembonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, 
C-3.lb+once-rel+acq-rel+acq-once.litmus, PASS, 9
C-3.lb+acq-o+acq-o.litmus, PASS, 11
C-rcu-link-after.litmus, FAIL, 11
C-rcu-link-before.litmus, FAIL, 11
C-ISA2-6+o-sync-o+o-sync-o+o-sync-o+rl-o-o-rul+rl-o-o-rul+rl-o-o-rul.litmus, PASS, 17
C-locktest.litmus, PASS, 24
C-3.SB+o-o+o-mb-o+o-mb-o.litmus, FAIL, 12
C-LB+acq-o+acq-o+acq-o.litmus, PASS, 10
C-wmb-is-B-cumulative.litmus, FAIL, 10
C-LB+o-sync-sync-o+rl-o-o-rul+rl-o-o-rul.litmus, PASS, 11
C-release-acquire-is-B-cumulative.litmus, FAIL, 11
C-rcu-relacq1.litmus, FAIL, 9
C-atomicpo.litmus, FAIL, 11
C-CO+o-o+o-o.litmus, PASS, 8
C-rcu-relacq1-relacq.litmus, PASS, 9
C-release-is-not-B-cumulative.litmus, FAIL, 9
C-WWC+o+o-rel+acq-o.litmus, PASS, 8
C-SB+o-mb-o+o-mb-o.litmus, PASS, 9
C-MP2+o-o-wmb-o-o+o-rmb-o+o-rmb-o.litmus, PASS, 11
C-2+2W+o-wmb-o+o-wmb-o.litmus, FAIL, 8
C-WWC+o+acq-o+acq-o.litmus, FAIL, 8
C-LB+o-sync-o+rl-o-o-rul.litmus, PASS, 11
C-3.SB+o-mb-o+o-mb-o+o-mb-o.litmus, PASS, 9
C-W+WRC+o-rel+acq-o+o-mb-o.litmus, FAIL, 11
C-po-loc.litmus, PASS, 11
C-RW-R+RW-G+RW-R.litmus, FAIL, 10
C-LB+o-o+o-o+o-o.litmus, FAIL, 11
C-IRIW+o+o+o-mb-o+o-mb-o.litmus, PASS, 11
C-relseq.litmus, FAIL, 12
C-LB+o-o+o-o.litmus, FAIL, 10
C-RR-R+WW-G.litmus, PASS, 10
C-RW-R+RW-Gr+RW-Ra.litmus, PASS, 11
C-LB+o-sync-o+rl-o-o-rul+o-rl-rul-o+o-sync-o.litmus, PASS, 14
C-wmb-is-not-A-cumulative.litmus, FAIL, 10
C-R+o-wmb-o+o+mb+o.litmus, FAIL, 10
C-WRC-o+o-data-o+o-rmb-o.litmus, FAIL, 11
