benchmark, result, time
MP+dmb.ld+dmb.sy.litmus, FAIL, 17
MP+dmb.st+dmb.ldpa.litmus, PASS, 21
3.LB+dmb.sy+po+po.litmus, FAIL, 19
LB+dmb.sy+popl.litmus, PASS, 21
S+dmb.ldll+poal.litmus, PASS, 22
2+2W+dmb.ldpl+dmb.sy.litmus, PASS, 22
MP+dmb.st+dmb.syap.litmus, PASS, 21
MP+dmb.stpl+dmb.syaa.litmus, PASS, 21
SB+dmb.ldpa+dmb.ldlp.litmus, FAIL, 17
SB+dmb.sypa+popa.litmus, FAIL, 17
Z6.0+po+dmb.sy+dmb.sy.litmus, FAIL, 19
MP+dmb.ldll+dmb.sy.litmus, PASS, 21
MP+dmb.ldll+dmb.ld.litmus, PASS, 21
R+dmb.stll+polp.litmus, FAIL, 18
R+popl+dmb.syla.litmus, PASS, 21
R+dmb.sy+dmb.ld.litmus, FAIL, 18
SB+polp+pola.litmus, FAIL, 18
MP+dmb.stlp+addraa.litmus, PASS, 22
LB+dmb.ldap+dataap.litmus, PASS, 21
LB+dmb.st+dataal.litmus, FAIL, 17
R+dmb.sylp+dmb.stla.litmus, PASS, 21
ISA2+dmb.sy+dmb.sy+addr.litmus, PASS, 24
R+popl+po.litmus, FAIL, 18
MP+dmb.sy+dmb.ldaa.litmus, PASS, 21
SB+dmb.sy+dmb.sypa.litmus, PASS, 21
MP+dmb.ldlp+dmb.st.litmus, FAIL, 17
Z6.4+dmb.sy+dmb.sy+po.litmus, FAIL, 19
LB+dmb.syals.litmus, PASS, 21
2+2W+dmb.sypls.litmus, PASS, 22
MP+dmb.ld+dmb.ldaa.litmus, FAIL, 18
MP+dmb.sylp+dmb.st.litmus, FAIL, 18
SB+dmb.ld+dmb.sypa.litmus, FAIL, 18
LB+dmb.sypls.litmus, PASS, 21
MP+dmb.stlp+dmb.ldaa.litmus, PASS, 21
LB+dmb.ld+poal.litmus, PASS, 21
LB+dmb.syap+dataap.litmus, PASS, 21
MP+popl+dmb.sy.litmus, PASS, 21
S+dmb.st+dmb.sy.litmus, PASS, 21
MP+popl+dmb.ld.litmus, PASS, 21
S+dmb.st+dmb.ld.litmus, PASS, 21
MP+dmb.syll+dmb.sy.litmus, PASS, 22
MP+dmb.syll+dmb.ld.litmus, PASS, 19
SB+dmb.ldlp+dmb.ldla.litmus, FAIL, 17
R+dmb.ldlp+pola.litmus, FAIL, 18
MP+dmb.syll+addrpa.litmus, PASS, 22
SB+dmb.stpa+dmb.sy.litmus, FAIL, 17
MP+popl+addrpa.litmus, PASS, 21
S+dmb.ldpl+data.litmus, PASS, 22
LB+dmb.stap+dmb.stal.litmus, PASS, 21
MP+polp+dmb.ldap.litmus, FAIL, 17
2+2W+dmb.ldpl+dmb.st.litmus, PASS, 21
S+dmb.ldll+po.litmus, FAIL, 17
R+dmb.ldlp+dmb.stla.litmus, FAIL, 18
MP+dmb.ldlp+addr.litmus, FAIL, 20
MP+dmb.ld+dmb.st.litmus, FAIL, 18
MP+dmb.sylp+popa.litmus, FAIL, 17
S+dmb.stpl+datapl.litmus, PASS, 21
2+2W+dmb.ldpl+dmb.stlp.litmus, PASS, 23
R+polp+dmb.ldpa.litmus, FAIL, 19
MP+polp+dmb.sypa.litmus, FAIL, 18
LB+dmb.stpl+poap.litmus, PASS, 22
LB+dmb.ldpl+dmb.sypl.litmus, PASS, 22
MP+dmb.sy+addrap.litmus, PASS, 23
R+po+dmb.ldlp.litmus, FAIL, 18
S+dmb.stlp+poap.litmus, PASS, 22
3.LB+dmb.sy+dmb.sy+po.litmus, FAIL, 22
R+dmb.ld+polp.litmus, FAIL, 19
2+2W+dmb.sy+polp.litmus, FAIL, 18
MP+dmb.sys.litmus, PASS, 20
MP+dmb.ldll+addrpa.litmus, PASS, 23
MP+polp+dmb.ldpa.litmus, FAIL, 18
R+polp+dmb.sypa.litmus, FAIL, 19
R+dmb.ld+dmb.st.litmus, FAIL, 20
R+dmb.sylp+popa.litmus, FAIL, 18
MP+dmb.stlp+po.litmus, FAIL, 17
MP+dmb.syll+addrap.litmus, PASS, 21
LB+dmb.sy+poap.litmus, PASS, 22
MP+popl+addrap.litmus, PASS, 21
MP+dmb.sylp+poap.litmus, PASS, 21
LB+dataap+poal.litmus, PASS, 21
MP+polp+dmb.syap.litmus, FAIL, 18
SB+dmb.sypa+dmb.sylp.litmus, PASS, 22
S+dmb.stll+dmb.stpl.litmus, PASS, 22
S+dmb.sylp+dmb.stap.litmus, PASS, 21
R+dmb.sypl+dmb.stpa.litmus, FAIL, 18
R+poll+dmb.st.litmus, FAIL, 18
SB+dmb.ld+pola.litmus, FAIL, 17
LB+dmb.stap+dataal.litmus, PASS, 21
Z6.2+dmb.sy+data+dmb.sy.litmus, PASS, 23
SB+dmb.st+dmb.sylp.litmus, FAIL, 17
MP+dmb.sy+addrpa.litmus, PASS, 21
W+RWC+dmb.sy+po+po.litmus, FAIL, 18
MP+poll+addr.litmus, PASS, 21
SB+dmb.sylp+dmb.syla.litmus, PASS, 21
RWC+po+dmb.sy.litmus, FAIL, 18
R+po+dmb.sylp.litmus, FAIL, 17
S+dmb.ldpl+dmb.stpl.litmus, PASS, 21
R+polp+dmb.sy.litmus, FAIL, 17
R+polp+dmb.ld.litmus, FAIL, 17
MP+dmb.ldll+addrap.litmus, PASS, 21
S+dmb.sy+data.litmus, PASS, 22
SB+dmb.stlp+dmb.sy.litmus, FAIL, 17
2+2W+dmb.sts.litmus, PASS, 22
SB+dmb.ldpa+pola.litmus, FAIL, 17
MP+dmb.sy+dmb.syaa.litmus, PASS, 21
LB+dmb.ldal+datapl.litmus, PASS, 21
S+dmb.syll+poal.litmus, PASS, 21
MP+dmb.sy+dmb.ld.litmus, PASS, 21
2+2W+dmb.ld+poll.litmus, FAIL, 17
R+dmb.ld+dmb.stla.litmus, FAIL, 17
R+dmb.ldlp+po.litmus, FAIL, 18
2+2W+dmb.sylp+po.litmus, FAIL, 18
LB+dmb.ldpl+dmb.sy.litmus, PASS, 21
R+popl+dmb.ldla.litmus, PASS, 21
R+dmb.ldpl+dmb.stpa.litmus, FAIL, 17
S+dmb.ldlp+dmb.stap.litmus, FAIL, 17
SB+dmb.ldpa+dmb.sylp.litmus, FAIL, 17
Z6.0+dmb.sy+dmb.sy+po.litmus, FAIL, 19
R+dmb.sy+popa.litmus, FAIL, 18
SB+dmb.ldlp+dmb.syla.litmus, FAIL, 17
SB+dmb.stla+dmb.sylp.litmus, PASS, 20
S+dmb.sypl+dmb.stpl.litmus, PASS, 21
R+dmb.sy+dmb.stla.litmus, PASS, 21
R+dmb.stll+dmb.stpa.litmus, FAIL, 17
2+2W+dmb.sypl+polp.litmus, FAIL, 17
2+2W.litmus, FAIL, 17
LB+po+popl.litmus, FAIL, 17
LB+dmb.syal+datapl.litmus, PASS, 23
MP+dmb.stlp+dmb.syaa.litmus, PASS, 22
SB+dmb.ld+dmb.ldpa.litmus, FAIL, 17
MP+dmb.ld+dmb.syaa.litmus, FAIL, 17
ISA2+dmb.sy+po+addr.litmus, FAIL, 20
Z6.4+po+dmb.sy+dmb.sy.litmus, FAIL, 18
LB+dmb.stal+dataal.litmus, PASS, 21
R+polp+dmb.syla.litmus, FAIL, 18
R+dmb.sylp+pola.litmus, PASS, 21
R+polp+dmb.st.litmus, FAIL, 18
S+dmb.stlp+popl.litmus, PASS, 22
R+dmb.sys.litmus, PASS, 21
MP+dmb.ldlp+addrap.litmus, FAIL, 18
SB+dmb.sylp+po.litmus, FAIL, 17
R+poll+dmb.sy.litmus, PASS, 21
LB+dmb.ldpl+dmb.syap.litmus, PASS, 21
LB+dmb.stpl+popl.litmus, PASS, 21
R+poll+dmb.ld.litmus, FAIL, 17
