benchmark, result, time
MP+dmb.ld+dmb.sy.litmus, FAIL, 7
MP+dmb.st+dmb.ldpa.litmus, PASS, 8
3.LB+dmb.sy+po+po.litmus, FAIL, 9
LB+dmb.sy+popl.litmus, PASS, 8
S+dmb.ldll+poal.litmus, PASS, 7
2+2W+dmb.ldpl+dmb.sy.litmus, PASS, 8
MP+dmb.st+dmb.syap.litmus, PASS, 8
MP+dmb.stpl+dmb.syaa.litmus, PASS, 8
SB+dmb.ldpa+dmb.ldlp.litmus, FAIL, 8
SB+dmb.sypa+popa.litmus, FAIL, 8
Z6.0+po+dmb.sy+dmb.sy.litmus, FAIL, 9
MP+dmb.ldll+dmb.sy.litmus, PASS, 8
MP+dmb.ldll+dmb.ld.litmus, PASS, 8
R+dmb.stll+polp.litmus, FAIL, 8
R+popl+dmb.syla.litmus, PASS, 8
R+dmb.sy+dmb.ld.litmus, FAIL, 8
SB+polp+pola.litmus, FAIL, 8
MP+dmb.stlp+addraa.litmus, PASS, 8
LB+dmb.ldap+dataap.litmus, PASS, 9
LB+dmb.st+dataal.litmus, FAIL, 8
R+dmb.sylp+dmb.stla.litmus, PASS, 8
ISA2+dmb.sy+dmb.sy+addr.litmus, PASS, 9
R+popl+po.litmus, FAIL, 8
MP+dmb.sy+dmb.ldaa.litmus, PASS, 8
SB+dmb.sy+dmb.sypa.litmus, PASS, 8
MP+dmb.ldlp+dmb.st.litmus, FAIL, 8
Z6.4+dmb.sy+dmb.sy+po.litmus, FAIL, 9
LB+dmb.syals.litmus, PASS, 8
2+2W+dmb.sypls.litmus, PASS, 9
MP+dmb.ld+dmb.ldaa.litmus, FAIL, 8
MP+dmb.sylp+dmb.st.litmus, FAIL, 8
SB+dmb.ld+dmb.sypa.litmus, FAIL, 8
LB+dmb.sypls.litmus, PASS, 8
MP+dmb.stlp+dmb.ldaa.litmus, PASS, 8
LB+dmb.ld+poal.litmus, PASS, 8
LB+dmb.syap+dataap.litmus, PASS, 8
MP+popl+dmb.sy.litmus, PASS, 8
S+dmb.st+dmb.sy.litmus, PASS, 8
MP+popl+dmb.ld.litmus, PASS, 8
S+dmb.st+dmb.ld.litmus, PASS, 8
MP+dmb.syll+dmb.sy.litmus, PASS, 8
MP+dmb.syll+dmb.ld.litmus, PASS, 6
SB+dmb.ldlp+dmb.ldla.litmus, FAIL, 9
R+dmb.ldlp+pola.litmus, FAIL, 9
MP+dmb.syll+addrpa.litmus, PASS, 9
SB+dmb.stpa+dmb.sy.litmus, FAIL, 9
MP+popl+addrpa.litmus, PASS, 8
S+dmb.ldpl+data.litmus, PASS, 9
LB+dmb.stap+dmb.stal.litmus, PASS, 8
MP+polp+dmb.ldap.litmus, FAIL, 8
2+2W+dmb.ldpl+dmb.st.litmus, PASS, 9
S+dmb.ldll+po.litmus, FAIL, 8
R+dmb.ldlp+dmb.stla.litmus, FAIL, 9
MP+dmb.ldlp+addr.litmus, FAIL, 7
MP+dmb.ld+dmb.st.litmus, FAIL, 8
MP+dmb.sylp+popa.litmus, FAIL, 7
S+dmb.stpl+datapl.litmus, PASS, 8
2+2W+dmb.ldpl+dmb.stlp.litmus, PASS, 9
R+polp+dmb.ldpa.litmus, FAIL, 7
MP+polp+dmb.sypa.litmus, FAIL, 8
LB+dmb.stpl+poap.litmus, PASS, 8
LB+dmb.ldpl+dmb.sypl.litmus, PASS, 9
MP+dmb.sy+addrap.litmus, PASS, 9
R+po+dmb.ldlp.litmus, FAIL, 9
S+dmb.stlp+poap.litmus, PASS, 9
3.LB+dmb.sy+dmb.sy+po.litmus, FAIL, 8
R+dmb.ld+polp.litmus, FAIL, 8
2+2W+dmb.sy+polp.litmus, FAIL, 8
MP+dmb.sys.litmus, PASS, 8
MP+dmb.ldll+addrpa.litmus, PASS, 9
MP+polp+dmb.ldpa.litmus, FAIL, 8
R+polp+dmb.sypa.litmus, FAIL, 8
R+dmb.ld+dmb.st.litmus, FAIL, 8
R+dmb.sylp+popa.litmus, FAIL, 7
MP+dmb.stlp+po.litmus, FAIL, 8
MP+dmb.syll+addrap.litmus, PASS, 8
LB+dmb.sy+poap.litmus, PASS, 8
MP+popl+addrap.litmus, PASS, 8
MP+dmb.sylp+poap.litmus, PASS, 8
LB+dataap+poal.litmus, PASS, 8
MP+polp+dmb.syap.litmus, FAIL, 8
SB+dmb.sypa+dmb.sylp.litmus, PASS, 8
S+dmb.stll+dmb.stpl.litmus, PASS, 8
S+dmb.sylp+dmb.stap.litmus, PASS, 8
R+dmb.sypl+dmb.stpa.litmus, FAIL, 8
R+poll+dmb.st.litmus, FAIL, 7
SB+dmb.ld+pola.litmus, FAIL, 7
LB+dmb.stap+dataal.litmus, PASS, 9
Z6.2+dmb.sy+data+dmb.sy.litmus, PASS, 10
SB+dmb.st+dmb.sylp.litmus, FAIL, 8
MP+dmb.sy+addrpa.litmus, PASS, 9
W+RWC+dmb.sy+po+po.litmus, FAIL, 9
MP+poll+addr.litmus, PASS, 9
SB+dmb.sylp+dmb.syla.litmus, PASS, 8
RWC+po+dmb.sy.litmus, FAIL, 9
R+po+dmb.sylp.litmus, FAIL, 8
S+dmb.ldpl+dmb.stpl.litmus, PASS, 8
R+polp+dmb.sy.litmus, FAIL, 8
R+polp+dmb.ld.litmus, FAIL, 8
MP+dmb.ldll+addrap.litmus, PASS, 9
S+dmb.sy+data.litmus, PASS, 9
SB+dmb.stlp+dmb.sy.litmus, FAIL, 7
2+2W+dmb.sts.litmus, PASS, 9
SB+dmb.ldpa+pola.litmus, FAIL, 8
MP+dmb.sy+dmb.syaa.litmus, PASS, 9
LB+dmb.ldal+datapl.litmus, PASS, 8
S+dmb.syll+poal.litmus, PASS, 8
MP+dmb.sy+dmb.ld.litmus, PASS, 8
2+2W+dmb.ld+poll.litmus, FAIL, 8
R+dmb.ld+dmb.stla.litmus, FAIL, 8
R+dmb.ldlp+po.litmus, FAIL, 8
2+2W+dmb.sylp+po.litmus, FAIL, 9
LB+dmb.ldpl+dmb.sy.litmus, PASS, 8
R+popl+dmb.ldla.litmus, PASS, 8
R+dmb.ldpl+dmb.stpa.litmus, FAIL, 8
S+dmb.ldlp+dmb.stap.litmus, FAIL, 8
SB+dmb.ldpa+dmb.sylp.litmus, FAIL, 8
Z6.0+dmb.sy+dmb.sy+po.litmus, FAIL, 9
R+dmb.sy+popa.litmus, FAIL, 8
SB+dmb.ldlp+dmb.syla.litmus, FAIL, 8
SB+dmb.stla+dmb.sylp.litmus, PASS, 8
S+dmb.sypl+dmb.stpl.litmus, PASS, 8
R+dmb.sy+dmb.stla.litmus, PASS, 8
R+dmb.stll+dmb.stpa.litmus, FAIL, 8
2+2W+dmb.sypl+polp.litmus, FAIL, 8
2+2W.litmus, FAIL, 8
LB+po+popl.litmus, FAIL, 8
LB+dmb.syal+datapl.litmus, PASS, 8
MP+dmb.stlp+dmb.syaa.litmus, PASS, 8
SB+dmb.ld+dmb.ldpa.litmus, FAIL, 7
MP+dmb.ld+dmb.syaa.litmus, FAIL, 8
ISA2+dmb.sy+po+addr.litmus, FAIL, 9
Z6.4+po+dmb.sy+dmb.sy.litmus, FAIL, 9
LB+dmb.stal+dataal.litmus, PASS, 9
R+polp+dmb.syla.litmus, FAIL, 8
R+dmb.sylp+pola.litmus, PASS, 8
R+polp+dmb.st.litmus, FAIL, 8
S+dmb.stlp+popl.litmus, PASS, 9
R+dmb.sys.litmus, PASS, 8
MP+dmb.ldlp+addrap.litmus, FAIL, 8
SB+dmb.sylp+po.litmus, FAIL, 8
R+poll+dmb.sy.litmus, PASS, 8
LB+dmb.ldpl+dmb.syap.litmus, PASS, 8
LB+dmb.stpl+popl.litmus, PASS, 8
R+poll+dmb.ld.litmus, FAIL, 8
MP+dmb.ldll+dmb.ldaa.litmus, PASS, 8
LB+data+poal.litmus, PASS, 8
S+dmb.stpls.litmus, PASS, 8
R+dmb.sypl+dmb.stla.litmus, PASS, 8
3.LB+data+data+po.litmus, FAIL, 9
MP+dmb.stpl+dmb.ldaa.litmus, PASS, 8
SB+dmb.ld+popa.litmus, FAIL, 8
MP+dmb.st+dmb.ldap.litmus, PASS, 8
S+dmb.stpl+dataap.litmus, PASS, 9
2+2W+popls.litmus, PASS, 8
MP+dmb.sylp+addrap.litmus, PASS, 9
R+dmb.ld+dmb.sy.litmus, FAIL, 8
MP+dmb.st+dmb.sypa.litmus, PASS, 8
S+polp+data.litmus, FAIL, 8
SB+dmb.ldpa+popa.litmus, FAIL, 8
MP+popl+dmb.ldap.litmus, PASS, 8
MP+dmb.ld+po.litmus, FAIL, 8
Z6.5+dmb.sy+po+dmb.sy.litmus, FAIL, 8
LB+dmb.syap+datapl.litmus, PASS, 8
R+dmb.ld+dmb.stpa.litmus, FAIL, 8
MP+dmb.ld+addrap.litmus, FAIL, 8
2+2W+dmb.ld+popl.litmus, FAIL, 8
MP+dmb.syll+dmb.ldaa.litmus, PASS, 8
LB+dmb.sypl+dmb.syap.litmus, PASS, 8
MP+popl+dmb.sypa.litmus, PASS, 8
R+popl+dmb.ldpa.litmus, FAIL, 7
2+2W+dmb.ldlp+dmb.stlp.litmus, FAIL, 8
MP+poll+poap.litmus, PASS, 8
R+dmb.ldpl+dmb.stla.litmus, PASS, 8
MP+popl+po.litmus, FAIL, 8
LB+dmb.ldpl+dmb.st.litmus, FAIL, 8
R+dmb.sy+pola.litmus, PASS, 8
MP+dmb.sy+dmb.st.litmus, FAIL, 7
MP+dmb.ldlp+popa.litmus, FAIL, 8
SB+dmb.ldlp+dmb.sypa.litmus, FAIL, 7
S+poll+dmb.syal.litmus, PASS, 8
MP+dmb.st+poaa.litmus, PASS, 8
