benchmark, result, time
LB+dmb.st+dataal.litmus, , 8
R+dmb.sylp+dmb.stla.litmus, , 7
ISA2+dmb.sy+dmb.sy+addr.litmus, , 8
R+popl+po.litmus, , 7
MP+dmb.sy+dmb.ldaa.litmus, , 7
SB+dmb.sy+dmb.sypa.litmus, , 7
MP+dmb.ldlp+dmb.st.litmus, , 7
Z6.4+dmb.sy+dmb.sy+po.litmus, , 7
LB+dmb.syals.litmus, , 8
2+2W+dmb.sypls.litmus, , 7
MP+dmb.ld+dmb.ldaa.litmus, , 7
MP+dmb.sylp+dmb.st.litmus, , 7
SB+dmb.ld+dmb.sypa.litmus, , 8
LB+dmb.sypls.litmus, , 7
MP+dmb.stlp+dmb.ldaa.litmus, , 7
LB+dmb.ld+poal.litmus, , 6
LB+dmb.syap+dataap.litmus, , 7
MP+popl+dmb.sy.litmus, , 8
S+dmb.st+dmb.sy.litmus, , 7
MP+popl+dmb.ld.litmus, , 7
S+dmb.st+dmb.ld.litmus, , 7
MP+dmb.syll+dmb.sy.litmus, , 7
MP+dmb.syll+dmb.ld.litmus, , 7
SB+dmb.ldlp+dmb.ldla.litmus, , 8
R+dmb.ldlp+pola.litmus, , 6
MP+dmb.syll+addrpa.litmus, , 8
SB+dmb.stpa+dmb.sy.litmus, , 7
MP+popl+addrpa.litmus, , 7
S+dmb.ldpl+data.litmus, , 8
LB+dmb.stap+dmb.stal.litmus, , 7
MP+polp+dmb.ldap.litmus, , 7
2+2W+dmb.ldpl+dmb.st.litmus, , 8
S+dmb.ldll+po.litmus, , 8
R+dmb.ldlp+dmb.stla.litmus, , 9
MP+dmb.ldlp+addr.litmus, , 7
MP+dmb.ld+dmb.st.litmus, , 7
MP+dmb.sylp+popa.litmus, , 7
S+dmb.stpl+datapl.litmus, , 7
2+2W+dmb.ldpl+dmb.stlp.litmus, , 7
R+polp+dmb.ldpa.litmus, , 7
MP+polp+dmb.sypa.litmus, , 7
LB+dmb.stpl+poap.litmus, , 7
LB+dmb.ldpl+dmb.sypl.litmus, , 8
MP+dmb.sy+addrap.litmus, , 7
R+po+dmb.ldlp.litmus, , 7
S+dmb.stlp+poap.litmus, , 8
3.LB+dmb.sy+dmb.sy+po.litmus, , 7
R+dmb.ld+polp.litmus, , 8
2+2W+dmb.sy+polp.litmus, , 7
MP+dmb.sys.litmus, , 7
MP+dmb.ldll+addrpa.litmus, , 7
MP+polp+dmb.ldpa.litmus, , 8
R+polp+dmb.sypa.litmus, , 8
R+dmb.ld+dmb.st.litmus, , 7
R+dmb.sylp+popa.litmus, , 8
MP+dmb.stlp+po.litmus, , 7
MP+dmb.syll+addrap.litmus, , 7
LB+dmb.sy+poap.litmus, , 7
MP+popl+addrap.litmus, , 9
MP+dmb.sylp+poap.litmus, , 7
LB+dataap+poal.litmus, , 7
MP+polp+dmb.syap.litmus, , 7
SB+dmb.sypa+dmb.sylp.litmus, , 8
S+dmb.stll+dmb.stpl.litmus, , 7
S+dmb.sylp+dmb.stap.litmus, , 7
R+dmb.sypl+dmb.stpa.litmus, , 8
R+poll+dmb.st.litmus, , 7
SB+dmb.ld+pola.litmus, , 7
LB+dmb.stap+dataal.litmus, , 8
Z6.2+dmb.sy+data+dmb.sy.litmus, , 7
SB+dmb.st+dmb.sylp.litmus, , 7
MP+dmb.sy+addrpa.litmus, , 7
