benchmark, result, time
WRC+lwsync+sync.litmus, PASS, 56
Z6.2+rfi-data+lwsync+lwsync.litmus, FAIL, 66
2+2WLocal.litmus, FAIL, 49
W+RWC+lwsync+po+po.litmus, FAIL, 46
DETOUR1134.litmus, FAIL, 43
safe042.litmus, PASS, 96
aclwdrr004.litmus, FAIL, 70
safe498.litmus, PASS, 136
Z6.3+po+lwsync+lwsync.litmus, FAIL, 51
Z6.4+lwsync+lwsync+sync.litmus, FAIL, 52
ISA2+sync+isync+po.litmus, FAIL, 51
WRC+isync+po.litmus, FAIL, 46
DETOUR0498.litmus, FAIL, 81
safe181.litmus, FAIL, 50
LB+PPO0296.litmus, PASS, 59
safe214.litmus, PASS, 104
safe053.litmus, PASS, 67
LB+sync+ctrlisync.litmus, PASS, 68
DETOUR0325.litmus, FAIL, 70
DETOUR1155.litmus, FAIL, 62
safe413.litmus, PASS, 123
MP+PPO397.litmus, PASS, 62
LB+PPO0351.litmus, FAIL, 56
LB+PPO0452.litmus, PASS, 62
S+PPO426.litmus, PASS, 75
DETOUR0247.litmus, FAIL, 49
WRC+po+ctrlisync.litmus, FAIL, 44
DETOUR0570.litmus, FAIL, 46
safe378.litmus, PASS, 106
Z6.1+rfi-data+sync+sync.litmus, FAIL, 71
S+PPO826.litmus, PASS, 79
WRC+sync+po.litmus, FAIL, 44
Z6.1+lwsync+sync+lwsync.litmus, PASS, 64
LB+isyncs.litmus, FAIL, 43
DETOUR0177.litmus, FAIL, 51
CO-LB.litmus, PASS, 52
DETOUR1159.litmus, FAIL, 65
Z6.3+lwsync+rfi-data+lwsync.litmus, FAIL, 59
MP+PPO495.litmus, PASS, 93
DETOUR0906.litmus, FAIL, 48
S+PPO551.litmus, PASS, 72
WRW+WR+lwsync+po.litmus, FAIL, 46
DETOUR1132.litmus, PASS, 63
DETOUR1131.litmus, PASS, 60
DETOUR1190.litmus, FAIL, 53
DETOUR0900.litmus, FAIL, 49
DETOUR1053.litmus, FAIL, 49
ISA2+sync+ctrl+po.litmus, FAIL, 47
DETOUR1270.litmus, FAIL, 58
MP+PPO467.litmus, PASS, 88
WRR+2W+lwsync+rfi-data.litmus, FAIL, 50
DETOUR1106.litmus, PASS, 60
podrwposwr031.litmus, FAIL, 61
DETOUR1164.litmus, PASS, 77
LB+PPO0420.litmus, PASS, 78
DETOUR0860.litmus, FAIL, 75
Z6.1+sync+sync+po.litmus, FAIL, 49
Z6.5+po+lwsync+po.litmus, FAIL, 50
Z6.2+sync+sync+lwsync.litmus, PASS, 71
DETOUR0280.litmus, PASS, 71
MP+PPO740.litmus, PASS, 84
3.LB+lwsyncs.litmus, PASS, 83
PPO019.litmus, PASS, 62
safe081.litmus, PASS, 104
RWC+syncs.litmus, PASS, 59
DETOUR0588.litmus, FAIL, 48
ISA2+syncs.litmus, PASS, 78
S+PPO563.litmus, PASS, 68
S+PPO432.litmus, PASS, 65
DETOUR1282.litmus, FAIL, 56
DETOUR0370.litmus, FAIL, 79
ISA2+lwsync+lwsync+sync.litmus, PASS, 68
DETOUR0178.litmus, FAIL, 48
DETOUR1076.litmus, FAIL, 52
DETOUR0446.litmus, FAIL, 75
safe399.litmus, PASS, 102
safe412.litmus, PASS, 136
ISA2+sync+data+sync.litmus, PASS, 70
safe370.litmus, PASS, 117
DETOUR0710.litmus, FAIL, 55
Z6.1+po+sync+po.litmus, FAIL, 50
DETOUR1133.litmus, PASS, 68
DETOUR0439.litmus, FAIL, 111
MP+isync+ctrlisync.litmus, FAIL, 41
CO-SB.litmus, PASS, 50
WRW+2W+lwsync+isync.litmus, FAIL, 52
W+RWC+rfi-data+lwsync+sync.litmus, FAIL, 49
DETOUR1019.litmus, FAIL, 58
aclwdrr012.litmus, FAIL, 68
Z6.4+sync+sync+lwsync.litmus, FAIL, 49
S+lwsync+sync.litmus, PASS, 58
MP+lwsync+data-wsi-rfi-ctrlisync.litmus, PASS, 57
LB+PPO0407.litmus, FAIL, 47
MP+PPO477.litmus, PASS, 63
