benchmark, result, time
4.SB+po+rfi-po+rfi-po+rfi-po.litmus, FAIL, 9
W+RR+WR+WR+po+rfi-po+po.litmus, FAIL, 9
x86-2+2W.litmus, PASS, 9
WW+RR+WR+WR+po+po+po+rfi-po.litmus, FAIL, 9
4.SB+mfence+rfi-po+mfence+rfi-po.litmus, FAIL, 14
R+po+mfence-fri-po.litmus, PASS, 9
SB+po+rfi-po.litmus, FAIL, 8
SB+mfence+po-rfi-po.litmus, FAIL, 9
W+RW+WR+WR+po+mfence+rfi-po.litmus, FAIL, 8
WW+WW+RW+WR+po+po+po+mfence.litmus, FAIL, 10
WW+RW+WW+RW.litmus, FAIL, 10
WW+WW+WR+WR+po+po+rfi-po+po.litmus, FAIL, 13
3.SB+mfence+rfi-po+po.litmus, FAIL, 11
MP+po+pos-fri-po.litmus, PASS, 9
rwc.2.litmus, FAIL, 8
m55ii.litmus, FAIL, 10
3.SB+mfence+mfence+po.litmus, FAIL, 8
R+po+mfence-fri-mfence.litmus, PASS, 10
WW+WW+WR+WR+po+po+mfence+po.litmus, FAIL, 9
WW+po-rfi-po.litmus, PASS, 8
R+po+rfi-po.litmus, FAIL, 9
amd3bis.litmus, FAIL, 9
R+po+po-mfence.litmus, PASS, 9
WW+WR+WR+WR+po+rfi-po+rfi-po+po.litmus, FAIL, 10
WW+WR+WR+WR+po+rfi-po+mfence+po.litmus, FAIL, 10
2+2W+po-rmws.litmus, FAIL, 12
MP+po+fri-mfence-pos.litmus, PASS, 10
4.SB+mfence+po+rfi-po+rfi-po.litmus, FAIL, 10
RR+WR+rmw-mfence+mfence.litmus, FAIL, 10
R+po+po-po-pos001.litmus, FAIL, 9
m14i.litmus, FAIL, 8
iriw.litmus, FAIL, 9
W+RR+WW+WW.litmus, FAIL, 11
W+RW+RW+WR+po+po+rfi-po.litmus, FAIL, 11
W+RWC+po+po+rfi-po.litmus, FAIL, 8
W+RR+WW+WR+po+po+mfence.litmus, FAIL, 9
WW+RW+WR+WR+po+po+po+mfence.litmus, FAIL, 8
R+po+po-po-po001.litmus, FAIL, 9
WW+WR+WR+WR+po+mfence+po+rfi-po.litmus, FAIL, 8
4.SB+mfence+rfi-po+rfi-po+rfi-po.litmus, FAIL, 9
4.2W.litmus, FAIL, 10
WW+WW+WW+RW.litmus, FAIL, 10
MP+po+po-po-po003.litmus, PASS, 9
S.litmus, FAIL, 9
fwd.litmus, FAIL, 9
Z6.0.litmus, FAIL, 8
MP.litmus, FAIL, 8
x86-m4s.litmus, FAIL, 9
WRW+WR.litmus, FAIL, 8
W+RW+WR+WR+po+rfi-po+rfi-po.litmus, FAIL, 10
n4.litmus, FAIL, 8
m45.litmus, FAIL, 9
X005.litmus, FAIL, 8
R+po+po-pos-po.litmus, FAIL, 8
WW+WR+WR+WR+po+rfi-po+rfi-po+mfence.litmus, FAIL, 11
R+mfence-rmw+mfence.litmus, FAIL, 11
Z6.4+po+rfi-po+mfence.litmus, FAIL, 10
iwp2.2-amd2.litmus, FAIL, 9
WW+WR+WR+WR+po+mfence+mfence+rfi-po.litmus, FAIL, 8
WW+RW+WW+WR+po+po+po+mfence.litmus, FAIL, 11
rwc.litmus, FAIL, 7
WW+WW+WR+WR+po+po+rfi-po+rfi-po.litmus, FAIL, 12
amd10.litmus, PASS, 9
MP+po+po-wsi-po.litmus, PASS, 9
3.2W.litmus, FAIL, 9
R+rfi-po+po-rfi.litmus, PASS, 10
RR+RW+po+rmw-po.litmus, FAIL, 9
R+po+mfence-fri-rfi.litmus, PASS, 8
MP+po+po-fri-mfence.litmus, PASS, 9
