benchmark, result, time
m44ii.litmus, FAIL, 6
2+2W+mfence-po+rfi-po.litmus, PASS, 8
MP+po+fri-rfi-po.litmus, PASS, 7
m34.litmus, FAIL, 8
SB.litmus, FAIL, 8
W+RW+RW+WW.litmus, FAIL, 10
3.SB.litmus, FAIL, 8
mfence2.litmus, FAIL, 9
R+po+mfence-po-rfi.litmus, PASS, 8
4.SB+mfence+po+po+po.litmus, FAIL, 8
m22.litmus, FAIL, 7
W+RR+WR+WR+po+mfence+mfence.litmus, FAIL, 9
R+po+po-rfi-pos.litmus, PASS, 8
WW+RW+RW+WR+po+po+po+rfi-po.litmus, FAIL, 10
S+mfence-rmw+rmw-po.litmus, FAIL, 8
WW+WR+WR+WR+po+mfence+mfence+po.litmus, FAIL, 8
WW+WR+WR+WR+po+mfence+rfi-po+po.litmus, FAIL, 8
MP+po+po-pos-pos.litmus, PASS, 8
RR+RR+rmw-mfence+rmw-po.litmus, FAIL, 8
test.intel.1.litmus, FAIL, 8
MP+po+pos-po-rfi.litmus, PASS, 8
W+RWC.litmus, FAIL, 8
MP+po+po-pos.litmus, PASS, 8
4.SB+mfence+mfence+po+po.litmus, FAIL, 8
4.SB+rfi-pos.litmus, FAIL, 9
WW+WR+WR+WR+po+po+po+mfence.litmus, FAIL, 9
intel.rwc.litmus, FAIL, 8
R+po+mfence-po-po.litmus, PASS, 8
S+po+po-rmw.litmus, FAIL, 9
R+po+po-fri-po.litmus, FAIL, 8
WW+WW+RW+RW.litmus, FAIL, 9
R+po+rfi-po-po001.litmus, FAIL, 8
2+2W+mfence-po+po-rfi-po.litmus, PASS, 9
WW+RR+WR+WR+po+po+rfi-po+rfi-po.litmus, FAIL, 8
R+mfence-po+po-rfi-po.litmus, FAIL, 9
iwp2.6.litmus, FAIL, 9
WW+RW+RR+WR+po+po+po+rfi-po.litmus, FAIL, 8
RR+RW+rmw-mfence+rmw-po.litmus, FAIL, 9
iwp2.3.b.litmus, FAIL, 8
2+2W+po-rfi-pos.litmus, PASS, 9
R+po+po-pos.litmus, FAIL, 8
4.SB.litmus, FAIL, 8
R+po+rfi-po-mfence.litmus, PASS, 8
intel.4.litmus, FAIL, 7
WW+WR+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 9
SB+mfence+rfi-po.litmus, FAIL, 8
MP+po+po-po-rfi001.litmus, PASS, 8
X001.litmus, FAIL, 8
WW+WW+WW+WR+po+po+po+rfi-po.litmus, FAIL, 10
W+RR+WW+RW.litmus, FAIL, 9
MP+po+fri-po-mfence.litmus, PASS, 8
RWC+po+mfence.litmus, FAIL, 8
MP+po+po-po-mfence.litmus, PASS, 9
4.SB+mfence+mfence+po+rfi-po.litmus, FAIL, 8
MP+po+pos-po-po.litmus, PASS, 8
R+po+mfence-pos.litmus, PASS, 8
RR+WR+rmw-po+mfence.litmus, FAIL, 8
WW+WR+WR+WR+po+mfence+po+po.litmus, FAIL, 8
LB+po+rmw-po.litmus, FAIL, 9
RR+WR+rmw-po+po.litmus, FAIL, 8
WW+RR+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 7
WW+RW+RW+RW.litmus, FAIL, 9
W+RW+WR+WR+po+po+rfi-po.litmus, FAIL, 8
W+RW+RR+WW.litmus, FAIL, 10
6.SB.litmus, FAIL, 9
m44if.litmus, FAIL, 8
S+mfence-rmw+po.litmus, FAIL, 8
CoRWRR.litmus, PASS, 7
R+po-rfi-po+rfi-po.litmus, FAIL, 8
4.SB+mfence+rfi-po+mfence+po.litmus, FAIL, 8
Z6.4+po+po+rfi-po.litmus, FAIL, 7
4.SB+mfence+rfi-po+rfi-po+po.litmus, FAIL, 9
WW+WR+WR+WR+po+po+rfi-po+rfi-po.litmus, FAIL, 8
W+RW+WR+WW.litmus, FAIL, 8
R+po+po-po001.litmus, FAIL, 8
SB3.litmus, FAIL, 8
R+po+rfi-po-pos.litmus, FAIL, 8
2+2W+mfence-rmws.litmus, FAIL, 11
RR+RW+rmw-pos.litmus, FAIL, 7
intel.3.1.litmus, FAIL, 6
SB+FENCE.litmus, FAIL, 6
irreduc3.litmus, FAIL, 10
m45ii.litmus, FAIL, 8
R+rfi-po+mfence.litmus, PASS, 9
W+RR+WR+WR+po+mfence+po.litmus, FAIL, 8
m11.litmus, FAIL, 9
