benchmark, result, time
amd3bis.litmus, , 14
R+po+po-mfence.litmus, , 10
WW+WR+WR+WR+po+rfi-po+rfi-po+po.litmus, , 36
WW+WR+WR+WR+po+rfi-po+mfence+po.litmus, , 22
2+2W+po-rmws.litmus, , 15
MP+po+fri-mfence-pos.litmus, , 15
4.SB+mfence+po+rfi-po+rfi-po.litmus, , 28
RR+WR+rmw-mfence+mfence.litmus, , 11
R+po+po-po-pos001.litmus, , 10
m14i.litmus, , 12
iriw.litmus, , 12
W+RR+WW+WW.litmus, , 15
W+RW+RW+WR+po+po+rfi-po.litmus, , 21
W+RWC+po+po+rfi-po.litmus, , 13
W+RR+WW+WR+po+po+mfence.litmus, , 15
WW+RW+WR+WR+po+po+po+mfence.litmus, , 15
R+po+po-po-po001.litmus, , 11
WW+WR+WR+WR+po+mfence+po+rfi-po.litmus, , 20
4.SB+mfence+rfi-po+rfi-po+rfi-po.litmus, , 51
4.2W.litmus, , 13
WW+WW+WW+RW.litmus, , 14
MP+po+po-po-po003.litmus, , 11
S.litmus, , 9
fwd.litmus, , 13
Z6.0.litmus, , 11
MP.litmus, , 11
x86-m4s.litmus, , 11
WRW+WR.litmus, , 12
W+RW+WR+WR+po+rfi-po+rfi-po.litmus, , 30
n4.litmus, , 24
m45.litmus, , 14
X005.litmus, , 11
R+po+po-pos-po.litmus, , 10
WW+WR+WR+WR+po+rfi-po+rfi-po+mfence.litmus, , 38
R+mfence-rmw+mfence.litmus, , 13
Z6.4+po+rfi-po+mfence.litmus, , 13
iwp2.2-amd2.litmus, , 10
WW+WR+WR+WR+po+mfence+mfence+rfi-po.litmus, , 20
WW+RW+WW+WR+po+po+po+mfence.litmus, , 15
rwc.litmus, , 12
WW+WW+WR+WR+po+po+rfi-po+rfi-po.litmus, , 35
amd10.litmus, , 12
MP+po+po-wsi-po.litmus, , 11
3.2W.litmus, , 12
R+rfi-po+po-rfi.litmus, , 16
RR+RW+po+rmw-po.litmus, , 12
R+po+mfence-fri-rfi.litmus, , 15
MP+po+po-fri-mfence.litmus, , 12
R+po+po-mfence-po.litmus, , 12
frmap2.litmus, , 12
R+po+po-pos-pos.litmus, , 12
3.SB+po+rfi-po+rfi-po.litmus, , 17
MP+po+po-rfi-pos.litmus, , 15
W+RW+WW+WR+po+po+mfence.litmus, , 12
WW+RW+WR+WR+po+po+mfence+rfi-po.litmus, , 20
SB+mfences.litmus, , 9
3.SB+rfi-pos.litmus, , 25
3.SB+mfence+po+po.litmus, , 11
W+RW+WW+WW.litmus, , 15
m13.litmus, , 11
MP+po+fri-po-pos.litmus, , 13
amd3.litmus, , 13
Z6.0+po+po+rfi-po.litmus, , 15
Z6.4+po+mfence+mfence.litmus, , 11
m33f.litmus, , 10
MP+po+po-rfi-po.litmus, , 10
WW+WR+WR+WR+po+rfi-po+mfence+mfence.litmus, , 26
WW+WR+WR+WR+po+mfence+rfi-po+rfi-po.litmus, , 28
R+po+po-po-rfi.litmus, , 13
W+RW+RW+RW.litmus, , 16
m24.litmus, , 11
WW+WW+RR+WR+po+po+po+mfence.litmus, , 16
W+RW+WR+WR+po+mfence+po.litmus, , 14
WW+RR+WW+RW.litmus, , 15
R+po+po-wsi-mfence.litmus, , 12
SB+po-rfi+po-rfi-po.litmus, , 14
W+RW+WR+WR+po+rfi-po+po.litmus, , 21
4.SB+mfence+mfence+rfi-po+po.litmus, , 20
WW+RR+WW+WR+po+po+po+rfi-po.litmus, , 21
WW+WW+WR+WR+po+po+mfence+rfi-po.litmus, , 18
4.SB+mfence+mfence+mfence+po.litmus, , 15
R+mfence-rmw+po.litmus, , 12
m14f.litmus, , 12
iwp2.7-amd7.litmus, , 25
R+po-rmw+rfi-po.litmus, , 14
intel.n4.litmus, , 23
W+RR+WR+WW.litmus, , 16
iwp2.4-amd9.litmus, , 12
MP+po+po-po-po.litmus, , 12
Z6.2.litmus, , 12
3.SB+mfences.litmus, , 13
IRIWX.litmus, , 12
MP+po+po-po-po001.litmus, , 10
iwp2.5-amd8.litmus, , 10
WW+RW+WR+WR+po+po+rfi-po+rfi-po.litmus, , 35
Z6.4+po+rfi-po+po.litmus, , 15
R+po-rfi-pos.litmus, , 12
Z6.4+po+mfence+po.litmus, , 12
R+po+po-po-po003.litmus, , 11
4.SB+mfence+rfi-po+po+rfi-po.litmus, , 28
SB+rfi-pos.litmus, , 13
MP+po+po-po-po002.litmus, , 12
WRW+2W.litmus, , 13
ISA2.litmus, , 11
RW+WR+rmw-po+mfence.litmus, , 11
R.litmus, , 11
n4b.litmus, , 11
W+RW+RR+WR+po+po+rfi-po.litmus, , 20
2+2W+mfence-rmw+po-rmw.litmus, , 16
R+po+rfi-pos-po.litmus, , 17
W+RW+RW+WR.litmus, , 14
W+RR+WR+WR+po+rfi-po+rfi-po.litmus, , 27
W+RR+WR+WR+po+po+mfence.litmus, , 14
WW+WW+WR+WR+po+po+po+mfence.litmus, , 17
SB+mfence+po-rfi.litmus, , 12
RR+RR+rmw-mfences.litmus, , 15
WW+WR+WW+WR+po+mfence+po+rfi-po.litmus, , 24
MP+po+po-po-mfence001.litmus, , 12
Z6.5+po+po+rfi-po.litmus, , 15
WW+RR+WW+WR.litmus, , 13
Z6.1.litmus, , 12
intel.n7.litmus, , 13
WW+WW+WR+WR.litmus, , 15
intel.iriw.litmus, , 14
MP+po+po-fri-po.litmus, , 12
R+rfi-po+po-rfi-po.litmus, , 13
3.SB+po+rfi-po+po.litmus, , 13
WRW+WR+po+rfi-po.litmus, , 15
4.LB.litmus, , 16
2+2W+po+po-rmw.litmus, , 13
MP+po+po-po.litmus, , 10
intel.paul-tso.litmus, , 12
4.SB+po+rfi-po+rfi-po+po.litmus, , 30
LB+po+po-rmw.litmus, , 12
W+RR+WR+WR+po+mfence+rfi-po.litmus, , 18
x86-m1.litmus, , 15
WW+WR+WW+WR.litmus, , 17
WW+RW+RW+WR+po+po+po+mfence.litmus, , 17
