benchmark, result, time
RWC+po+rfi-po.litmus, FAIL, 52
WW+RW+WR+WR+po+po+mfence+po.litmus, FAIL, 31
4.LB.litmus, FAIL, 69
W+RW+WW+RR.litmus, FAIL, 65
m44iif.litmus, FAIL, 49
fwd.litmus, FAIL, 37
SB+po+rfi-po.litmus, FAIL, 45
MP+po+po-po-mfence.litmus, PASS, 53
W+RW+WW+WW.litmus, FAIL, 61
R+po+po-po-rfi001.litmus, PASS, 59
W+RR+WR+WR+po+po+rfi-po.litmus, FAIL, 70
MP+po+po-po-po001.litmus, PASS, 51
2+2W+po+mfence-rmw.litmus, FAIL, 55
WW+RR+WW+WR+po+po+po+mfence.litmus, FAIL, 64
WR+po-rfi-po.litmus, PASS, 41
WW+WR+WR+WR+po+po+rfi-po+po.litmus, FAIL, 72
W+RW+WR+WW+po+mfence+po.litmus, FAIL, 66
W+RR+WR+WR+po+po+mfence.litmus, FAIL, 57
WW+WW+WW+RR.litmus, FAIL, 68
4.SB+mfence+rfi-po+rfi-po+rfi-po.litmus, FAIL, 61
m24.litmus, FAIL, 46
MP+po+po-fri-po.litmus, PASS, 47
Z6.4+po+rfi-po+rfi-po.litmus, FAIL, 57
R+po+po-po-po003.litmus, FAIL, 38
W+RR+WR+WW.litmus, FAIL, 58
MP+po+po-fri-rfi.litmus, PASS, 52
SB+po-rfi+po-rfi-po.litmus, FAIL, 43
X003.litmus, FAIL, 42
R+mfence-po+rfi-po.litmus, FAIL, 43
R+po+rfi-po-mfence.litmus, PASS, 50
W+RR+WR+WW+po+rfi-po+po.litmus, FAIL, 64
W+RW+RW+RW.litmus, FAIL, 64
W+RR+WR+WR+po+rfi-po+po.litmus, FAIL, 56
W+RR+WR+WR.litmus, FAIL, 54
R+po-rmw+rfi-po.litmus, FAIL, 55
WWC.litmus, FAIL, 56
MP+po+po-po-po003.litmus, PASS, 47
SB+rfi-po+po-rfi.litmus, FAIL, 47
x86-e1.litmus, FAIL, 52
MP+po+pos-po.litmus, PASS, 48
4.SB+mfence+mfence+mfence+rfi-po.litmus, FAIL, 60
R+po+mfence-po-po.litmus, PASS, 55
ISA2.litmus, FAIL, 55
R+po+po-rfi.litmus, PASS, 52
4.SB+mfence+mfence+mfence+po.litmus, FAIL, 60
RR+RR+rmw-pos.litmus, FAIL, 50
W+RW+RW+WR.litmus, FAIL, 60
S+po+rmw-po.litmus, FAIL, 53
Z6.1.litmus, FAIL, 52
MP+po+pos-po-po001.litmus, PASS, 50
m55ii.litmus, FAIL, 55
2+2W+mfence-po+po-rfi-po.litmus, PASS, 52
4.SB+po+rfi-po+rfi-po+po.litmus, FAIL, 68
RR+RW+rmw-pos.litmus, FAIL, 64
n4.litmus, FAIL, 58
intel.n4.litmus, FAIL, 58
n8.litmus, FAIL, 38
S.litmus, FAIL, 45
rwc.2.litmus, FAIL, 40
m45ii.litmus, FAIL, 44
WW+WW+WR+WR+po+po+mfence+po.litmus, FAIL, 63
R+mfence-rmw+po.litmus, FAIL, 53
W+RW+WR+WR+po+rfi-po+mfence.litmus, FAIL, 69
2+2W+po+po-rmw.litmus, FAIL, 56
3.SB+rfi-pos.litmus, FAIL, 56
W+RW+WR+WW+po+rfi-po+po.litmus, FAIL, 74
WW+WW+RR+WR.litmus, FAIL, 61
R+po-rfi-po+po-rfi.litmus, PASS, 54
WW+po-rfi-po.litmus, PASS, 38
WRW+WR+po+mfence.litmus, FAIL, 52
2+2W+mfence-po+rfi-po.litmus, PASS, 54
iwp2.3.a-amd4.mfence.litmus, PASS, 46
R+po+rfi-po-po.litmus, FAIL, 47
X005.litmus, FAIL, 39
W+RW+WR+WR+po+po+rfi-po.litmus, FAIL, 59
W+RW+WW+RW.litmus, FAIL, 75
mfence.litmus, PASS, 64
m34f.litmus, FAIL, 50
R+po+rfi-pos-po.litmus, FAIL, 53
WW+RW+RR+WR+po+po+po+rfi-po.litmus, FAIL, 64
n2.litmus, FAIL, 68
WW+RW+WW+WR+po+po+po+mfence.litmus, FAIL, 63
WW+RR+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 61
Z6.5+po+po+mfence.litmus, FAIL, 52
iwp2.2-amd2.litmus, FAIL, 49
WW+WR+WR+WR+po+mfence+po+po.litmus, FAIL, 65
WW+WW+RW+RW.litmus, FAIL, 78
WW+RW+RW+WR+po+po+po+rfi-po.litmus, FAIL, 83
WW+RR+WR+WR+po+po+po+mfence.litmus, FAIL, 66
MP+po+po-po-po.litmus, PASS, 52
WW+WW+WR+WR+po+po+rfi-po+po.litmus, FAIL, 72
amd5.litmus, PASS, 62
WW+RW+WR+WR.litmus, FAIL, 64
intel.n8.litmus, FAIL, 40
m34i.litmus, FAIL, 37
R+po+po-fri-po.litmus, FAIL, 42
RW+WR+rmw-po+mfence.litmus, FAIL, 60
WW+RR+WR+WR+po+po+po+rfi-po.litmus, FAIL, 63
m35.litmus, FAIL, 53
X000.litmus, FAIL, 43
W+RW+WW+WR.litmus, FAIL, 61
3.SB+mfence+rfi-po+po.litmus, FAIL, 53
iwp2.3.a-amd4.litmus, FAIL, 37
W+RR+WW+WW.litmus, FAIL, 70
4.SB+mfence+po+mfence+po.litmus, FAIL, 61
iwp2.5-amd8.litmus, FAIL, 53
Z6.5+po+po+rfi-po.litmus, FAIL, 68
MP+po+po-pos-po.litmus, PASS, 53
S+mfence-rmw+po-rmw.litmus, FAIL, 59
LB+po+rmw-po.litmus, FAIL, 52
x86-m4s.litmus, FAIL, 48
WW+WR+WR+WR+po+mfence+mfence+rfi-po.litmus, FAIL, 61
W+RW+WW+WR+po+po+rfi-po.litmus, FAIL, 71
MP+po-rmw+rmw-mfence.litmus, FAIL, 61
R+po-rfi-po+mfence.litmus, PASS, 49
n3.litmus, PASS, 66
4.SB+po+rfi-po+rfi-po+rfi-po.litmus, FAIL, 65
R+po+rfi-po.litmus, FAIL, 61
